# Sample CSV format for importing exam questions
# Format: question_text,option_a,option_b,option_c,option_d,correct_answer,difficulty,category
# correct_answer: 0=A, 1=B, 2=C, 3=D
# difficulty: easy, medium, hard

What is 2+2?,2,3,4,5,2,easy,Math
What is the capital of France?,London,Paris,Berlin,Madrid,1,easy,Geography
What is the chemical symbol for water?,H2O,O2,CO2,NaCl,0,easy,Chemistry
Who painted the Mona Lisa?,Picasso,Da Vinci,Van Gogh,Rembrandt,1,medium,Art
What year did World War II end?,1943,1944,1945,1946,2,medium,History
What is the speed of light?,299792 km/s,150000 km/s,500000 km/s,100000 km/s,0,hard,Physics
What is the derivative of x^2?,x,2x,x^2,2,1,hard,Math
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,1,easy,Science
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,3,easy,Geography
Who wrote Romeo and Juliet?,Dickens,Shakespeare,Austen,Tolstoy,1,medium,Literature
