question,option_a,option_b,option_c,option_d,correct_answer,difficulty,category
What is 2 + 2?,3,4,5,6,1,easy,Math
What is the capital of France?,London,Paris,Berlin,Madrid,1,easy,Geography
What is the chemical symbol for water?,H2O,O2,CO2,NaCl,0,easy,Chemistry
Who painted the Mona Lisa?,Picasso,Da Vinci,Van Gogh,Rembrandt,1,medium,Art
What year did World War II end?,1943,1944,1945,1946,2,medium,History
What is the speed of light approximately?,299792 km/s,150000 km/s,500000 km/s,100000 km/s,0,hard,Physics
What is the derivative of x^2?,x,2x,x^2,2,1,hard,Math
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,1,easy,Science
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,3,easy,Geography
Who wrote Romeo and Juliet?,Dickens,Shakespeare,Austen,Tolstoy,1,medium,Literature
What is the square root of 144?,10,11,12,13,2,easy,Math
Which country has the largest population?,India,China,USA,Indonesia,1,medium,Geography
What is the atomic number of Carbon?,4,5,6,7,2,medium,Science
What is 25 * 4?,80,90,100,110,2,easy,Math
What does HTML stand for?,HyperText Markup Language,High Tech Modern Language,Home Tool Markup Language,Hyperlinks Text Markup Language,0,easy,Technology
Who discovered gravity?,Newton,Einstein,Galileo,Darwin,0,easy,Science
What is the capital of Japan?,Seoul,Beijing,Tokyo,Bangkok,2,easy,Geography
Which gas do plants absorb from air?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,1,easy,Science
What is 7 * 8?,54,56,58,60,1,easy,Math
What is the currency of United Kingdom?,Dollar,Euro,Pound,Yen,2,easy,Economics
Which animal is called the King of the Jungle?,Tiger,Lion,Elephant,Bear,1,easy,Animals
What is the smallest prime number?,0,1,2,3,2,easy,Math
How many sides does a hexagon have?,4,5,6,7,2,easy,Math
What is the formula for Carbon Dioxide?,CO,CO2,C2O,CO3,1,easy,Chemistry
Which is the largest planet in our solar system?,Earth,Saturn,Jupiter,Neptune,2,medium,Science
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Lysosome,1,medium,Biology
Who invented the telephone?,Edison,Bell,Tesla,Morse,1,medium,Technology
What is the chemical symbol for Gold?,Go,Gd,Au,Ag,2,hard,Chemistry
What is the integral of 2x?,x,x^2,2x^2,x^2/2,1,hard,Math
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,2,medium,Geography
How many bones are in the adult human body?,196,206,216,226,1,medium,Biology
What is the smallest country in the world?,Monaco,Vatican City,San Marino,Liechtenstein,1,medium,Geography
Who wrote the epic poem Odyssey?,Homer,Virgil,Sophocles,Euripides,0,medium,Literature
Which programming language was created by Guido van Rossum?,Java,Python,Ruby,Perl,1,medium,Technology
What is the chemical symbol for Iron?,Ir,Ie,Fe,In,2,medium,Chemistry
What year was the first website created?,1989,1990,1991,1992,2,hard,Technology
What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,2,easy,Geography
How many teeth does an adult human have?,28,30,32,34,2,easy,Biology
What is the largest desert in the world?,Sahara,Arabian,Gobi,Antarctic,3,hard,Geography
Who developed the theory of relativity?,Newton,Einstein,Hawking,Feynman,1,medium,Physics
What is the freezing point of water in Fahrenheit?,28,30,32,34,2,easy,Science
Which blood type is the universal donor?,A,B,AB,O,3,medium,Biology
What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Hippo,1,easy,Animals
What is 15% of 200?,25,30,35,40,1,easy,Math
How many planets are in our solar system?,7,8,9,10,1,easy,Science
